2025-08-19 13:53:58.4501776 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(150): void __cdecl ch31::exercises::ex4::test(int,char **): Argument: D:\etmbms\vsprojects\profcppbook\x64\Debug\profcppbook.exe
2025-08-19 13:53:58.4524472 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(150): void __cdecl ch31::exercises::ex4::test(int,char **): Argument: -d
2025-08-19 13:53:58.4528570 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(128): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): given argument: ComplicatedClass
2025-08-19 13:53:58.4623599 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 22: UserCommand
2025-08-19 13:53:58.4627617 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 23: UserCommand
2025-08-19 13:53:58.4631780 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 24: UserCommand
2025-08-19 13:53:58.4635842 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 25: UserCommand
2025-08-19 13:53:58.4639785 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 26: UserCommand
2025-08-19 13:53:58.4643697 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 27: UserCommand
2025-08-19 13:53:58.4647927 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 28: UserCommand
2025-08-19 13:53:58.4652907 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 29: UserCommand
2025-08-19 13:53:58.4657503 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 30: UserCommand
2025-08-19 13:53:58.4661798 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 31: UserCommand
2025-08-19 13:53:58.4665766 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 32: UserCommand
2025-08-19 13:53:58.4669821 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 33: UserCommand
2025-08-19 13:53:58.4673638 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 34: UserCommand
2025-08-19 13:53:58.4677528 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 35: UserCommand
2025-08-19 13:53:58.4681699 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 36: UserCommand
2025-08-19 13:53:58.4685987 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 37: UserCommand
2025-08-19 13:53:58.4689961 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 38: UserCommand
2025-08-19 13:53:58.4694129 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 39: UserCommand
2025-08-19 13:53:58.4698127 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 40: UserCommand
2025-08-19 13:53:58.4702289 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 41: UserCommand
2025-08-19 13:53:58.4706513 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 42: UserCommand
2025-08-19 13:53:58.4710530 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 43: UserCommand
2025-08-19 13:53:58.4714510 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 44: UserCommand
2025-08-19 13:53:58.4718405 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 45: UserCommand
2025-08-19 13:53:58.4722424 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 46: UserCommand
2025-08-19 13:53:58.4726156 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 47: UserCommand
2025-08-19 13:53:58.4729825 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 48: UserCommand
2025-08-19 13:53:58.4733506 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 49: UserCommand
2025-08-19 13:53:58.4738200 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 50: UserCommand
2025-08-19 13:53:58.4742517 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 51: UserCommand
2025-08-19 13:53:58.4746649 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 52: UserCommand
2025-08-19 13:53:58.4750649 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 53: UserCommand
2025-08-19 13:53:58.4754714 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 54: UserCommand
2025-08-19 13:53:58.4758800 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 55: UserCommand
2025-08-19 13:53:58.4763122 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 56: UserCommand
2025-08-19 13:53:58.4767123 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 57: UserCommand
2025-08-19 13:53:58.4770920 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 58: UserCommand
2025-08-19 13:53:58.4774796 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 59: UserCommand
2025-08-19 13:53:58.4778740 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 60: UserCommand
2025-08-19 13:53:58.4782588 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 61: UserCommand
2025-08-19 13:53:58.4786302 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 62: UserCommand
2025-08-19 13:53:58.4789967 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 63: UserCommand
2025-08-19 13:53:58.4793559 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 64: UserCommand
2025-08-19 13:53:58.4797129 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 65: UserCommand
2025-08-19 13:53:58.4800906 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 66: UserCommand
2025-08-19 13:53:58.4804749 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 67: UserCommand
2025-08-19 13:53:58.4808506 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 68: UserCommand
2025-08-19 13:53:58.4812141 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 69: UserCommand
2025-08-19 13:53:58.4815799 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 70: UserCommand
2025-08-19 13:53:58.4819579 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 71: UserCommand
2025-08-19 13:53:58.4823207 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 72: UserCommand
2025-08-19 13:53:58.4826904 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 73: UserCommand
2025-08-19 13:53:58.4830715 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 74: UserCommand
2025-08-19 13:53:58.4834367 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 75: UserCommand
2025-08-19 13:53:58.4838229 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 76: UserCommand
2025-08-19 13:53:58.4842157 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 77: UserCommand
2025-08-19 13:53:58.4845849 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 78: UserCommand
2025-08-19 13:53:58.4849610 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 79: UserCommand
2025-08-19 13:53:58.4853726 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 80: UserCommand
2025-08-19 13:53:58.4857960 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 81: UserCommand
2025-08-19 13:53:58.4862273 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 82: UserCommand
2025-08-19 13:53:58.4867433 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 83: UserCommand
2025-08-19 13:53:58.4871493 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 84: UserCommand
2025-08-19 13:53:58.4875362 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 85: UserCommand
2025-08-19 13:53:58.4879295 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 86: UserCommand
2025-08-19 13:53:58.4883343 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 87: UserCommand
2025-08-19 13:53:58.4887394 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 88: UserCommand
2025-08-19 13:53:58.4891331 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 89: UserCommand
2025-08-19 13:53:58.4895210 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 90: UserCommand
2025-08-19 13:53:58.4899102 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 91: UserCommand
2025-08-19 13:53:58.4903085 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 92: UserCommand
2025-08-19 13:53:58.4906904 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 93: UserCommand
2025-08-19 13:53:58.4911022 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 94: UserCommand
2025-08-19 13:53:58.4915256 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 95: UserCommand
2025-08-19 13:53:58.4919291 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 96: UserCommand
2025-08-19 13:53:58.4923495 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 97: UserCommand
2025-08-19 13:53:58.4927540 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 98: UserCommand
2025-08-19 13:53:58.4931686 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 99: UserCommand
2025-08-19 13:56:39.6123954 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(150): void __cdecl ch31::exercises::ex4::test(int,char **): Argument: D:\etmbms\vsprojects\profcppbook\x64\Debug\profcppbook.exe
2025-08-19 13:56:39.6146004 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(150): void __cdecl ch31::exercises::ex4::test(int,char **): Argument: -d
2025-08-19 13:56:39.6150127 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(128): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): given argument: ComplicatedClass
2025-08-19 13:56:39.6155216 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 0: UserCommand
2025-08-19 13:56:39.6159996 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 1: UserCommand
2025-08-19 13:56:39.6164264 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 2: UserCommand
2025-08-19 13:56:39.6168541 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 3: UserCommand
2025-08-19 13:56:39.6172933 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 4: UserCommand
2025-08-19 13:56:39.6177167 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 5: UserCommand
2025-08-19 13:56:39.6181277 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 6: UserCommand
2025-08-19 13:56:39.6185648 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 7: UserCommand
2025-08-19 13:56:39.6189952 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 8: UserCommand
2025-08-19 13:56:39.6194277 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 9: UserCommand
2025-08-19 13:56:39.6198671 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 10: UserCommand
2025-08-19 13:56:39.6202961 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 11: UserCommand
2025-08-19 13:56:39.6207513 UTC: D:\etmbms\vsprojects\profcppbook\ch31.ixx(132): void __cdecl ch31::exercises::ex4::trickyFunction(class ch31::exercises::ex4::ComplicatedClass *): retrieved cmd 12: UserCommand
